"MeanAverage" "StDivAverage"
-0.486713996139449 -0.463716542749936
-0.516905997620793 -0.513305700948802
-0.502495097191743 -0.486744619244046
-0.485217163189524 -0.465296805542408
-0.508086236045606 -0.489057862500484
-0.495520215294449 -0.467970825052308
-0.554871723221615 -0.524889013946856
-0.488484740349164 -0.470407319816446
-0.532915921247308 -0.517068292901229
-0.486713996139449 -0.545471854544871
-0.516905997620793 -0.532283183746643
-0.502495097191743 -0.483419110756989
-0.485217163189524 -0.531074045846152
-0.508086236045606 -0.500546088727287
-0.495520215294449 -0.475827255097812
-0.554871723221615 -0.546032397931626
-0.488484740349164 -0.53156690682358
-0.532915921247308 -0.536397143012394
-0.486713996139449 -0.528449504034801
-0.516905997620793 -0.515399693128953
-0.502495097191743 -0.515229704083787
-0.509256816870113 -0.632053611764178
-0.509256816870113 -0.638457630544667
-0.509256816870113 -0.638496844282532
-0.509256816870113 -0.359560163091193
-0.509256816870113 -0.294470826458505
-0.509256816870113 -0.390195856389987
0.502811089306893 0.497295074540271
0.509131852685244 0.503373423412521
0.500843675962414 0.504180551402664
0.501294173234371 0.499756707252724
0.503778573784079 0.502623938425635
0.507536684934289 0.504688950595559
0.510829344636885 0.510217280027573
0.501909977046085 0.506264788627301
0.506897852697339 0.508486059876069
0.502811089306893 0.515380709535846
0.509131852685244 0.515899506665549
0.500843675962414 0.509647921726285
0.501294173234371 0.512264571270128
0.503778573784079 0.507417374971588
0.507536684934289 0.507161328898879
0.510829344636885 0.511719756490632
0.501909977046085 0.510550381436544
0.506897852697339 0.512075457117072
0.502811089306893 0.502513360558791
0.509131852685244 0.510407502152705
0.500843675962414 0.500361287803291
0.505187291029599 0.540063717976112
0.505187291029599 0.535626246385318
0.505187291029599 0.531423201292861
0.505187291029599 0.464956330423952
0.505187291029599 0.472553115216779
0.505187291029599 0.480776289448877
